ID | NAME | VISIT STATION | WAITING TICKET | TICKETING | TICKET FINISH | WAITING TRAIN | ARRIVAL
1 | 고객2001 | 0 | 2 | 2000 | Sun Sep 20 18:38:40 KST 2015 | 1005 | Sun Sep 20 18:39:08 KST 2015
2 | 고객2002 | 0 | 2002 | 1000 | Sun Sep 20 18:38:41 KST 2015 | 5 | Sun Sep 20 18:39:09 KST 2015
3 | 고객2003 | 0 | 3002 | 3000 | Sun Sep 20 18:38:44 KST 2015 | 7 | Sun Sep 20 18:39:10 KST 2015
4 | 고객2004 | 0 | 6002 | 5000 | Sun Sep 20 18:38:49 KST 2015 | 1014 | Sun Sep 20 18:39:11 KST 2015
5 | 고객2005 | 0 | 11002 | 1000 | Sun Sep 20 18:38:50 KST 2015 | 14 | Sun Sep 20 18:39:17 KST 2015
6 | 고객2006 | 1000 | 12002 | 10000 | Sun Sep 20 18:39:00 KST 2015 | 2021 | Sun Sep 20 18:39:18 KST 2015
7 | 고객2007 | 1000 | 22002 | 1000 | Sun Sep 20 18:39:01 KST 2015 | 1021 | Sun Sep 20 18:39:19 KST 2015
8 | 고객2008 | 1000 | 23002 | 2000 | Sun Sep 20 18:39:03 KST 2015 | 2026 | Sun Sep 20 18:39:20 KST 2015
9 | 고객2009 | 3000 | 25002 | 1000 | Sun Sep 20 18:39:04 KST 2015 | 1026 | Sun Sep 20 18:39:21 KST 2015
10 | 고객2010 | 3000 | 26002 | 3000 | Sun Sep 20 18:39:07 KST 2015 | 1029 | Sun Sep 20 18:39:35 KST 2015
11 | 고객2011 | 5000 | 29002 | 6000 | Sun Sep 20 18:39:13 KST 2015 | 1032 | Sun Sep 20 18:39:36 KST 2015
12 | 고객2012 | 5000 | 35002 | 2000 | Sun Sep 20 18:39:15 KST 2015 | 2035 | Sun Sep 20 18:39:37 KST 2015
13 | 고객2013 | 7000 | 37001 | 3000 | Sun Sep 20 18:39:18 KST 2015 | 2039 | Sun Sep 20 18:39:38 KST 2015
14 | 고객2014 | 7000 | 40001 | 1000 | Sun Sep 20 18:39:19 KST 2015 | 1040 | Sun Sep 20 18:39:39 KST 2015
15 | 고객2015 | 7000 | 41001 | 1000 | Sun Sep 20 18:39:20 KST 2015 | 40 | Sun Sep 20 18:39:40 KST 2015
16 | 고객2016 | 7000 | 42001 | 2000 | Sun Sep 20 18:39:22 KST 2015 | 1040 | Sun Sep 20 18:39:41 KST 2015
